Species,Type,Identifier,Title
"Alchornea cordifolia",PMID,"20006684","A bioactive isoprenylated xanthone and other constituents of Garcinia edulis."
"Alchornea cordifolia",PMID,"26208861","Plasmodium transmission blocking activities of Vernonia amygdalina extracts and isolated compounds."
"Alchornea cordifolia",PMID,"24356872","Alienusolin, a new 4α-deoxyphorbol ester derivative, and crotonimide C, a new glutarimide alkaloid from the Kenyan Croton alienus."
"Alchornea cordifolia",PMID,"12770597","Phenolic constituents from Drypetes armoracia."
"Alchornea cordifolia",PMID,"25535086","Antiplasmodial compounds from the stem bark of Neoboutonia macrocalyx pax."
"Alchornea cordifolia",PMID,"25277679","Antimicrobial steroidal saponin and oleanane-type triterpenoid saponins from Paullinia pinnata."
"Alchornea cordifolia",PMID,"33624570","A new isoquinoline and ceramide from the stem barks of Discoglypremna caloneura (Pax) Prain (Euphorbiaceae) with antiproteinase and cytotoxic activities."
"Alchornea cordifolia",PMID,"11677033","Constituents from Salvia triloba."
"Alchornea cordifolia",PMID,"25632460","Phenolic constituents of Erigeron floribundus (Asteraceae), a Cameroonian medicinal plant."
"Alchornea cordifolia",PMID,"27286332","New ent-Clerodane and Abietane Diterpenoids from the Roots of Kenyan Croton megalocarpoides Friis & M. G. Gilbert."
"Alchornea cordifolia",PMID,"29438356","Ent-Clerodane Diterpenes from the Bark of Croton oligandrus Pierre ex Hutch. and Assessment of Their Cytotoxicity against Human Cancer Cell Lines."
"Alchornea cordifolia",DOI,"10.1016/j.phytol.2018.12.010","Bioactive acridone alkaloids and their derivatives from Citrus aurantium (Rutaceae)"
"Alchornea cordifolia",DOI,"10.1080/14786419.2019.1613399","Crotoliganfuran, a new clerodane-type furano-diterpenoid from <i>Croton oligandrus</i> Pierre ex Hutch"
"Alchornea cordifolia",DOI,"10.3390/molecules23020410","Ent-Clerodane Diterpenes from the Bark of Croton oligandrus Pierre ex Hutch. and Assessment of Their Cytotoxicity against Human Cancer Cell Lines"
"Alchornea cordifolia",DOI,"10.1016/j.phytol.2015.04.026","Terpenoids from the stem bark of Neoboutonia macrocalyx (Euphorbiaceae)"
"Alchornea cordifolia",DOI,"10.1016/0031-9422(81)85164-3","A carotane derivative and a eudesmanolide from Inula crithmoides*"
"Alchornea cordifolia",DOI,"10.1016/j.jep.2014.12.018","Antiplasmodial compounds from the stem bark of Neoboutonia macrocalyx pax"
"Croton macrostachys",PMID,"17691050","A novel antiplasmodial 3',5'-diformylchalcone and other constituents of Friesodielsia obovata."
"Croton macrostachys",PMID,"25535086","Antiplasmodial compounds from the stem bark of Neoboutonia macrocalyx pax."
"Croton macrostachys",PMID,"33624570","A new isoquinoline and ceramide from the stem barks of Discoglypremna caloneura (Pax) Prain (Euphorbiaceae) with antiproteinase and cytotoxic activities."
"Croton macrostachys",PMID,"30886338","Anti-HIV-1 integrase potency of methylgallate from Alchornea cordifolia using in vitro and in silico approaches."
"Croton macrostachys",PMID,"25632460","Phenolic constituents of Erigeron floribundus (Asteraceae), a Cameroonian medicinal plant."
"Croton macrostachys",DOI,"10.1016/j.phytol.2015.04.026","Terpenoids from the stem bark of Neoboutonia macrocalyx (Euphorbiaceae)"
"Croton macrostachys",DOI,"10.1038/s41598-019-41403-x","Anti-HIV-1 integrase potency of methylgallate from Alchornea cordifolia using in vitro and in silico approaches"
"Croton macrostachys",DOI,"10.1016/j.jep.2014.12.018","Antiplasmodial compounds from the stem bark of Neoboutonia macrocalyx pax"
"Maesa lanceolata",PMID,"12916075","Polyphenols of Melaleuca quinquenervia leaves--pharmacological studies of grandinin."
"Maesa lanceolata",PMID,"25928352","Antimicrobial and antioxidant flavonoids from the leaves of Oncoba spinosa Forssk. (Salicaceae)."
"Maesa lanceolata",PMID,"16303155","Phytochemical constituents and hepatoprotective activity of Viburnum tinus."
"Maesa lanceolata",PMID,"25553207","Phytochemical, Antimicrobial and Antiplasmodial Investigations of Terminalia brownii."
"Maesa lanceolata",PMID,"17365690","Phenolics of Moringa oleifera leaves."
"Maesa lanceolata",PMID,"21139276","Ceramide and Cerebroside from the stem bark of Ficus mucuso (Moraceae)."
"Maesa lanceolata",PMID,"22742959","Cytotoxic ellagitannins from Reaumuria vermiculata."
"Maesa lanceolata",PMID,"5648113","Crotepoxide, a novel cyclohexane diepoxide tumor inhibitor from Croton macrostachys."
"Maesa lanceolata",PMID,"15964039","Rare trisubstituted sesquiterpenes daucanes from the wild Daucus carota."
"Maesa lanceolata",PMID,"39146520","Navigating the Labyrinth of Pregnancy-Related Coverage for Undocumented Immigrants: An Assessment of Current State and Federal Policies."
"Maesa lanceolata",PMID,"24613627","Benzophenone C-glucosides and gallotannins from mango tree stem bark with broad-spectrum anti-viral activity."
"Maesa lanceolata",PMID,"21793764","A sulphated flavone glycoside from Livistona australis and its antioxidant and cytotoxic activity."
"Maesa lanceolata",PMID,"10820798","Triterpenoid saponins and sapogenin lactones from Albizia gummifera."
"Maesa lanceolata",PMID,"33163682","Botanicals from the leaves of Acacia sieberiana had better cytotoxic effects than isolated phytochemicals towards MDR cancer cells lines."
"Maesa lanceolata",PMID,"11008378","A new flavonoid from Limonium axillare."
"Maesa lanceolata",PMID,"11054840","Inhibitory effects of sudanese medicinal plant extracts on hepatitis C virus (HCV) protease."
"Maesa lanceolata",PMID,"20451939","Polyphenolic compounds in the fruits of Egyptian medicinal plants (Terminalia bellerica, Terminalia chebula and Terminalia horrida): characterization, quantitation and determination of antioxidant capacities."
"Maesa lanceolata",PMID,"21246441","Phytochemical investigation and biological studies of Bombax malabaricum flowers."
"Maesa lanceolata",PMID,"10746883","Unusual phenolic glycosides from Cotoneaster orbicularis."
"Maesa lanceolata",PMID,"27417554","Antioxidant and antibacterial activities and polyphenolic constituents of Helianthemum sessiliflorum Pers."
